full_address,shape_X,shape_Y
"1/581 George Street, North Dunedin, Dunedin",170.5087449,-45.86450813
"2/581 George Street, North Dunedin, Dunedin",170.5087768,-45.86445467
"3/581 George Street, North Dunedin, Dunedin",170.5086665,-45.86449334
"4/581 George Street, North Dunedin, Dunedin",170.5086983,-45.8644342
"5/581 George Street, North Dunedin, Dunedin",170.5084572,-45.86444898
"6/581 George Street, North Dunedin, Dunedin",170.5084788,-45.86439211
"7/581 George Street, North Dunedin, Dunedin",170.5083662,-45.86442908
"8/581 George Street, North Dunedin, Dunedin",170.5083986,-45.86437335
"34 Elizabeth Avenue, East Taieri, Mosgiel",170.3372802,-45.89515011
"36 Elizabeth Avenue, East Taieri, Mosgiel",170.3374587,-45.89534802
"254B Fryatt Street, Dunedin Central, Dunedin",170.5264864,-45.87255357
"39 Queen Street, North Dunedin, Dunedin",170.5077534,-45.86414145
"11 Old Brighton Road, Fairfield, Dunedin",170.3928273,-45.89975139
"49 Magdala Street, Tainui, Dunedin",170.5210049,-45.90282032
"19 Brighton Road, Green Island, Dunedin",170.4200006,-45.90565295
"153A Frederick Street, North Dunedin, Dunedin",170.5139451,-45.86965728
"153B Frederick Street, North Dunedin, Dunedin",170.5139838,-45.8695843
"154A Dundas Street, North Dunedin, Dunedin",170.520942,-45.86298273
"154B Dundas Street, North Dunedin, Dunedin",170.5210077,-45.86287755
"22B Harrier Road, Saint Leonards, Dunedin",170.5713725,-45.85077685
"7B High Street, Mosgiel",170.3560503,-45.87299528
"8A Kings Avenue, Saint Kilda, Dunedin",170.4943261,-45.9040407
"17 Elizabeth Avenue, East Taieri, Mosgiel",170.3379286,-45.89580291
"289 South Road, Caversham, Dunedin",170.4806137,-45.89634238
"43 Barclay Street, Liberton, Dunedin",170.520175,-45.84884737
"53 Spottiswoode Street, Tainui, Dunedin",170.5299257,-45.8996808
"141 Albany Street, North Dunedin, Dunedin",170.5160862,-45.86812593
"1/21 Glencairn Street, North East Valley, Dunedin",170.5158401,-45.85347716
"1/264 High Street, Dunedin Central, Dunedin",170.4967026,-45.87922318
"7A Paris Street, North East Valley, Dunedin",170.5259618,-45.84882713
"260B High Street, Dunedin Central, Dunedin",170.4966428,-45.8788815
"618B Hillside Road, Caversham, Dunedin",170.4852589,-45.89843103
"9/5 Jetty Street, Dunedin Central, Dunedin",170.5011211,-45.87981323
"11/5 Jetty Street, Dunedin Central, Dunedin",170.5011765,-45.87985603
"38A Forth Street, Mosgiel",170.344536,-45.87013313
"32 Elizabeth Avenue, East Taieri, Mosgiel",170.3374121,-45.89512964
"1/14 Russell Street, Dunedin Central, Dunedin",170.4948255,-45.87694407
"58A Clyde Street, North Dunedin, Dunedin",170.5156877,-45.86670621
"412A George Street, North Dunedin, Dunedin",170.5074652,-45.86769598
"7A High Street, Mosgiel",170.3558708,-45.87284372
"7C High Street, Mosgiel",170.3562383,-45.87313035
"191 Somerville Street, Waverley, Dunedin",170.5382879,-45.88690577
"193 Somerville Street, Waverley, Dunedin",170.5384641,-45.8868524
"8B Kings Avenue, Saint Kilda, Dunedin",170.4940293,-45.90406137
"101D North Taieri Road, Abbotsford, Dunedin",170.4186345,-45.89034698
"23 Strawberry Lane, Sawyers Bay, Dunedin",170.5933725,-45.82365075
"33E Bathgate Street, South Dunedin, Dunedin",170.4951221,-45.89712272
"33F Bathgate Street, South Dunedin, Dunedin",170.4950706,-45.89715258
"33G Bathgate Street, South Dunedin, Dunedin",170.4954729,-45.89715087
"33H Bathgate Street, South Dunedin, Dunedin",170.4954214,-45.89718072
"226A Bay View Road, South Dunedin, Dunedin",170.4970618,-45.90208533
"2/5 Jetty Street, Dunedin Central, Dunedin",170.5010903,-45.87973417
"3/5 Jetty Street, Dunedin Central, Dunedin",170.5010704,-45.87977053
"4/5 Jetty Street, Dunedin Central, Dunedin",170.50106,-45.8797975
"255A Rattray Street, Dunedin Central, Dunedin",170.4985638,-45.87511872
"167A Taieri Road, Kaikorai, Dunedin",170.4820892,-45.86355305
"58A Chain Hills Road, Fairfield, Dunedin",170.3771155,-45.89646837
"103A York Place, Dunedin Central, Dunedin",170.4999661,-45.87209694
"103B York Place, Dunedin Central, Dunedin",170.4998717,-45.87196773
"93A Mulford Street, Concord, Dunedin",170.4629261,-45.9056286
"33B Bathgate Street, South Dunedin, Dunedin",170.4949663,-45.89695103
"226J Bay View Road, South Dunedin, Dunedin",170.4967783,-45.90165618
"226L Bay View Road, South Dunedin, Dunedin",170.4968597,-45.90163535
"288 Taieri Road, Wakari, Dunedin",170.478076,-45.85766328
"55 Serpentine Avenue, Dunedin Central, Dunedin",170.4905592,-45.88026779
"6 Devon Place, Mosgiel",170.359747,-45.88389333
"15 Tanner Road, Glenleith, Dunedin",170.5023193,-45.84773218
"136 Blacks Road, Opoho, Dunedin",170.5323894,-45.85453327
"29 Evans Street, Opoho, Dunedin",170.5270164,-45.85524598
"18 Hartstonge Avenue, Mosgiel",170.3489882,-45.87320818
"3 McDonald Street, Mosgiel",170.3458436,-45.88150943
"49 Forfar Street, Mosgiel",170.345812,-45.8760678
"53 Argyle Street, Mosgiel",170.3480888,-45.88154908
"8A Queen Street, Brighton, Dunedin",170.327046,-45.94908408
"27 Duke Street, North Dunedin, Dunedin",170.5139025,-45.85710413
"12 Centennial Avenue, Helensburgh, Dunedin",170.4814624,-45.85351818
